Car Url,Location,Views,brand,car_id,price,verify_tag,mileage,year,color,video,ask_num,car_location,seller_info,equipment,scrape_time
https://auto.8891.com.tw/usedauto-infos-3930315.html?display__sale_code=&flow_id=0a364ab4-a8b6-4910-ae3b-c9f516574216,新北市,173次瀏覽,五十鈴/Isuzu,S3930315,103.8萬,Not found,24萬公里,2019年,藍色,N,Not found,新北市五股區新五路三段112號,8891嚴選上展汽車,[],3.050758123397827
https://auto.8891.com.tw/usedauto-infos-3930287.html?display__sale_code=&flow_id=43663f6e-e86b-4b3e-bc66-c5e6dd9fc0e1,高雄市,152次瀏覽,五十鈴/Isuzu,S3930287,35.8萬,Y,40.4萬公里,2006年,藍色,N,Not found,高雄市仁武區鳳仁路82號,冠佑汽車,[],3.0438079833984375
https://auto.8891.com.tw/usedauto-infos-3919046.html?display__sale_code=&flow_id=a1c522ba-e6dc-4754-8c7e-f7f44b3eee3d,新北市,367次瀏覽,五十鈴/Isuzu,S3919046,105.8萬,Not found,18.3萬公里,2020年,白色,N,Not found,新北市樹林區中山路二段222-2號,8891嚴選SUM昇陽中古汽車,"['防盜系統', '中控鎖', '倒車顯影系統', '真皮/皮革座椅']",7.236051321029663
https://auto.8891.com.tw/usedauto-infos-3919698.html?display__sale_code=&flow_id=b202228b-b028-472a-8a7e-00f65436e7a1,台中市,476次瀏覽,五十鈴/Isuzu,S3919698,149萬,N,3萬公里,2022年,白色,N,Not found,台中市潭子區崇德路四段277-3號,雙福汽車,['中控鎖'],3.7637269496917725
https://auto.8891.com.tw/usedauto-infos-3881758.html?display__sale_code=&flow_id=4e9e15a1-3a3d-430f-a915-ee06295191a8,台中市,321次瀏覽,五十鈴/Isuzu,S3881758,109萬,N,16萬公里,2019年,白色,N,Not found,台中市潭子區崇德路四段277-3號,雙福汽車,['中控鎖'],38.59596562385559
https://auto.8891.com.tw/usedauto-infos-3875317.html?display__sale_code=&flow_id=ca99a56f-3c3e-4f5e-adff-a9386b09aafa,彰化縣,343次瀏覽,五十鈴/Isuzu,S3875317,89.8萬,N,10.59萬公里,2020年,藍色,N,Not found,彰化縣花壇鄉中山路二段117號,第一便宜中古車,[],2.700190544128418
https://auto.8891.com.tw/usedauto-infos-3837233.html?display__sale_code=&flow_id=eeaad0ef-ca6d-4161-8621-51fa26a0606a,新北市,575次瀏覽,五十鈴/Isuzu,S3837233,66.8萬,Not found,9.2萬公里,2015年,藍色,N,Not found,新北市新莊區新北大道3段2之1號,8891嚴選SUM龍輝汽車商行,[],3.6931278705596924
https://auto.8891.com.tw/usedauto-infos-3809681.html?display__sale_code=&flow_id=3a56bbe9-cf4d-49a6-853f-c0140ecdad88,台中市,920次瀏覽,五十鈴/Isuzu,S3809681,123.8萬,N,8萬公里,2018年,白色,N,4,台中市潭子區崇德路四段277-3號,雙福汽車,['中控鎖'],2.781851053237915
https://auto.8891.com.tw/usedauto-infos-3719024.html?display__sale_code=&flow_id=19396539-7aad-4c96-8b72-8535ecd45f9c,桃園市,307次瀏覽,五十鈴/Isuzu,S3719024,49.8萬,N,22.67萬公里,2007年,白色,N,Not found,桃園市平鎮區延平路2段201號,SUM模範店鎮平車業,[],2.7906494140625
https://auto.8891.com.tw/usedauto-infos-3716745.html?display__sale_code=&flow_id=32b319c1-4094-44f1-8d23-f4a2cbf19d41,彰化縣,260次瀏覽,五十鈴/Isuzu,S3716745,39.8萬,N,24.82萬公里,2005年,其他(白藍色),N,Not found,彰化縣花壇鄉中山路二段117號,,[],4.890642166137695
https://auto.8891.com.tw/usedauto-infos-3670229.html?display__sale_code=&flow_id=769d3618-a7e2-4572-abd1-508d2407fc81,桃園市,443次瀏覽,五十鈴/Isuzu,S3670229,19.8萬,N,35.09萬公里,2004年,藍色,N,Not found,桃園市平鎮區延平路2段201號,SUM模範店鎮平車業,[],2.845564842224121
https://auto.8891.com.tw/usedauto-infos-3592245.html?display__sale_code=&flow_id=783b466d-a1e7-4a69-b773-1a5b3c51ac37,彰化縣,358次瀏覽,五十鈴/Isuzu,S3592245,26.8萬,N,25萬公里,1998年,藍色,N,3,彰化縣花壇鄉中山路二段117號,第一便宜中古車,[],4.018749475479126
https://auto.8891.com.tw/usedauto-infos-3540633.html?display__sale_code=&flow_id=c53b0718-07a0-4a7f-9b3c-6aabb46bd877,新北市,1737次瀏覽,五十鈴/Isuzu,S3540633,26.8萬,Not found,21萬公里,2006年,藍色,N,5,新北市新店區安和路三段3之1號,8891嚴選中正汽車,['ABS防鎖死'],2.7738723754882812
